"year_week","influenza_viruses","number_samples","number_sequenced","number_detections_influenza_viruses"
"17-23 gennaio 2022","A",542,527,1
"17-23 gennaio 2022","A(H3N2)",542,527,6
"17-23 gennaio 2022","A(H1N1)pdm2009",542,527,1
"17-23 gennaio 2022","FLU B",542,527,0
"17-23 gennaio 2022","Positivi al SARS-CoV-2",542,527,266
"24-30 gennaio 2022","FLU A",344,331,14
"24-30 gennaio 2022","A",344,331,2
"24-30 gennaio 2022","A(H3N2)",344,331,10
"24-30 gennaio 2022","A(H1N1)pdm2009",344,331,2
"24-30 gennaio 2022","FLU B",344,331,0
"24-30 gennaio 2022","Positivi al SARS-CoV-2",344,331,126
"31 gennaio-6 febbraio 2022","FLU A",265,255,10
"31 gennaio-6 febbraio 2022","A",265,255,2
"31 gennaio-6 febbraio 2022","A(H3N2)",265,255,8
"31 gennaio-6 febbraio 2022","A(H1N1)pdm2009",265,255,0
"31 gennaio-6 febbraio 2022","FLU B",265,255,0
"31 gennaio-6 febbraio 2022","Positivi al SARS-CoV-2",265,255,72
"7-13 febbraio 2022","FLU A",537,524,12
"7-13 febbraio 2022","A",537,524,0
"7-13 febbraio 2022","A(H3N2)",537,524,12
"7-13 febbraio 2022","A(H1N1)pdm2009",537,524,0
"7-13 febbraio 2022","FLU B",537,524,0
"7-13 febbraio 2022","Positivi al SARS-CoV-2",537,524,230
"14-20 febbraio 2022","FLU A",394,388,17
"14-20 febbraio 2022","A",394,388,0
"14-20 febbraio 2022","A(H3N2)",394,388,17
"14-20 febbraio 2022","A(H1N1)pdm2009",394,388,0
"14-20 febbraio 2022","FLU B",394,388,0
"14-20 febbraio 2022","Positivi al SARS-CoV-2",394,388,151
"21-27 febbraio 2022","FLU A",388,356,40
"21-27 febbraio 2022","A",388,356,0
"21-27 febbraio 2022","A(H3N2)",388,356,39
"21-27 febbraio 2022","A(H1N1)pdm2009",388,356,1
"21-27 febbraio 2022","FLU B",388,356,0
"21-27 febbraio 2022","Positivi al SARS-CoV-2",388,356,94
"28 febbraio-6 marzo 2022","FLU A",487,479,75
"28 febbraio-6 marzo 2022","A",487,479,6
"28 febbraio-6 marzo 2022","A(H3N2)",487,479,69
"28 febbraio-6 marzo 2022","A(H1N1)pdm2009",487,479,0
"28 febbraio-6 marzo 2022","FLU B",487,479,0
"28 febbraio-6 marzo 2022","Positivi al SARS-CoV-2",487,479,178
"7-13 marzo 2022","FLU A",629,610,180
"7-13 marzo 2022","A",629,610,48
"7-13 marzo 2022","A(H3N2)",629,610,132
"7-13 marzo 2022","A(H1N1)pdm2009",629,610,0
"7-13 marzo 2022","FLU B",629,610,0
"7-13 marzo 2022","Positivi al SARS-CoV-2",629,610,154
"14-20 marzo 2022","FLU A",758,741,303
"14-20 marzo 2022","A",758,741,83
"14-20 marzo 2022","A(H3N2)",758,741,219
"14-20 marzo 2022","A(H1N1)pdm2009",758,741,1
"14-20 marzo 2022","FLU B",758,741,0
"14-20 marzo 2022","Positivi al SARS-CoV-2",758,741,185
"21-27 marzo 2022","FLU A",780,753,338
"21-27 marzo 2022","A",780,753,120
"21-27 marzo 2022","A(H3N2)",780,753,217
"21-27 marzo 2022","A(H1N1)pdm2009",780,753,1
"21-27 marzo 2022","FLU B",780,753,0
"21-27 marzo 2022","Positivi al SARS-CoV-2",780,753,211
"28 marzo-3 aprile 2022","FLU A",705,676,301
"28 marzo-3 aprile 2022","A",705,676,93
"28 marzo-3 aprile 2022","A(H3N2)",705,676,207
"28 marzo-3 aprile 2022","A(H1N1)pdm2009",705,676,1
"28 marzo-3 aprile 2022","FLU B",705,676,0
"28 marzo-3 aprile 2022","Positivi al SARS-CoV-2",705,676,177
"4-10 aprile 2022","FLU A",696,664,248
"4-10 aprile 2022","A",696,664,102
"4-10 aprile 2022","A(H3N2)",696,664,145
"4-10 aprile 2022","A(H1N1)pdm2009",696,664,1
"4-10 aprile 2022","FLU B",696,664,0
"4-10 aprile 2022","Positivi al SARS-CoV-2",696,664,233
"11-17 aprile 2022","FLU A",491,472,142
"11-17 aprile 2022","A",491,472,29
"11-17 aprile 2022","A(H3N2)",491,472,112
"11-17 aprile 2022","A(H1N1)pdm2009",491,472,1
"11-17 aprile 2022","FLU B",491,472,1
"11-17 aprile 2022","Positivi al SARS-CoV-2",491,472,195
"18-24 aprile 2022","FLU A",384,375,99
"18-24 aprile 2022","A",384,375,14
"18-24 aprile 2022","A(H3N2)",384,375,84
"18-24 aprile 2022","A(H1N1)pdm2009",384,375,1
"18-24 aprile 2022","FLU B",384,375,0
"18-24 aprile 2022","Positivi al SARS-CoV-2",384,375,136
"25 aprile-1 maggio 2022","FLU A",437,431,64
"25 aprile-1 maggio 2022","A",437,431,41
"25 aprile-1 maggio 2022","A(H3N2)",437,431,23
"25 aprile-1 maggio 2022","A(H1N1)pdm2009",437,431,0
"25 aprile-1 maggio 2022","FLU B",437,431,0
"25 aprile-1 maggio 2022","Positivi al SARS-CoV-2",437,431,146
